,placeid,name,displaylat,displaylon,geometry,lon,lat
361,414,Juragan Andara Mobil,-6.31418,106.80384,POINT (106.80384 -6.31418),106.80384,-6.31418
362,415,Shell,-6.18595,106.87482,POINT (106.87482 -6.18595),106.87482,-6.18595
363,416,Pertamina,-6.37668,106.8871,POINT (106.8871 -6.37668),106.8871,-6.37668
364,417,Pertamina,-6.10314,106.71638,POINT (106.71638 -6.10314),106.71638,-6.10314
365,421,Shell,-6.25851,106.949444,POINT (106.949444 -6.25851),106.949444,-6.25851
366,422,Pertamina,-6.270553,106.759915,POINT (106.759915 -6.270553),106.759915,-6.270553
367,423,Pertamina,-6.185755,106.948005,POINT (106.948005 -6.185755),106.948005,-6.185755
368,424,Pertamina,-6.37322,106.8327,POINT (106.8327 -6.37322),106.8327,-6.37322
369,425,Alfamart,-6.14821,106.79442,POINT (106.79442 -6.14821),106.79442,-6.14821
370,426,Pertamina,-6.27019,106.9505,POINT (106.9505 -6.27019),106.9505,-6.27019
371,428,Pertamina,-6.13047,106.70324,POINT (106.70324 -6.13047),106.70324,-6.13047
372,429,Trishindo Jaya Motor,-6.14452,106.70392,POINT (106.70392 -6.14452),106.70392,-6.14452
373,430,BP,-6.19826267,106.76024037,POINT (106.76024037 -6.19826267),106.76024037,-6.19826267
374,431,Pertamina,-6.311465124,106.92415283,POINT (106.92415283 -6.311465124),106.92415283,-6.311465124
375,432,Warung Bang Udin,-6.1379,106.75912,POINT (106.75912 -6.1379),106.75912,-6.1379
376,433,Shell,-6.188917,106.771494,POINT (106.771494 -6.188917),106.771494,-6.188917
377,434,Pertamina,-6.383673308868289,106.89998699604128,POINT (106.89998699604128 -6.383673308868289),106.89998699604128,-6.383673308868289
378,435,Vivo,-6.277968335,106.808097965,POINT (106.808097965 -6.277968335),106.808097965,-6.277968335
379,436,Pertamina,-6.121663,106.80425,POINT (106.80425 -6.121663),106.80425,-6.121663
380,437,Pertamina,-6.26689,106.81575,POINT (106.81575 -6.26689),106.81575,-6.26689
381,438,Pertamina,-6.19914,106.69676,POINT (106.69676 -6.19914),106.69676,-6.19914
382,439,Pertamina,-6.34776025933871,106.92052530074216,POINT (106.92052530074216 -6.34776025933871),106.92052530074216,-6.34776025933871
383,440,Kopi Kenangan BP Metland,-6.20022,106.70422,POINT (106.70422 -6.20022),106.70422,-6.20022
384,441,Pertamina,-6.16398,106.6767,POINT (106.6767 -6.16398),106.6767,-6.16398
385,442,Mandiri Cell,-6.286769895566681,106.94631604913872,POINT (106.94631604913872 -6.286769895566681),106.94631604913872,-6.286769895566681
386,444,Pertamina,-6.312326,106.836754,POINT (106.836754 -6.312326),106.836754,-6.312326
387,446,Pertamina,-6.118492100188949,106.9252367296157,POINT (106.9252367296157 -6.118492100188949),106.9252367296157,-6.118492100188949
388,447,Imam Knalpot,-6.256917547,106.768207575,POINT (106.768207575 -6.256917547),106.768207575,-6.256917547
389,449,Pertamina,-6.138645,106.867362,POINT (106.867362 -6.138645),106.867362,-6.138645
390,450,Pertamina,-6.27836,106.77279,POINT (106.77279 -6.27836),106.77279,-6.27836
391,451,Pertamina,-6.22794,106.77857,POINT (106.77857 -6.22794),106.77857,-6.22794
392,452,Pertamina,-6.154218115637422,106.79317961014164,POINT (106.79317961014164 -6.1542181156374225),106.79317961014164,-6.1542181156374225
393,453,Pertamina,-6.24424,106.78809,POINT (106.78809 -6.24424),106.78809,-6.24424
394,454,Pertamina,-6.17619,106.83183,POINT (106.83183 -6.17619),106.83183,-6.17619
395,455,Pertamina,-6.22969,106.72307,POINT (106.72307 -6.22969),106.72307,-6.22969
396,456,Pertamina,-6.148275,106.830896,POINT (106.830896 -6.148275),106.830896,-6.148275
397,457,Pertamina,-6.31796,106.76918,POINT (106.76918 -6.31796),106.76918,-6.31796
398,458,Wisma Kemang,-6.273192103546391,106.81520327934214,POINT (106.81520327934214 -6.273192103546391),106.81520327934214,-6.273192103546391
399,459,Pertamina,-6.244913,106.842519,POINT (106.842519 -6.244913),106.842519,-6.244913
400,460,Shell,-6.256407,106.808301,POINT (106.808301 -6.256407),106.808301,-6.256407
401,461,Pertamina,-6.1743,106.80321,POINT (106.80321 -6.1743),106.80321,-6.1743
402,463,Pt. Jagasutama Nusantara,-6.174255,106.803172,POINT (106.803172 -6.174255),106.803172,-6.174255
403,464,Pertamina,-6.139467,106.847305,POINT (106.847305 -6.139467),106.847305,-6.139467
404,465,Pertamina,-6.352994,106.86239,POINT (106.86239 -6.352994),106.86239,-6.352994
405,466,Pertamina,-6.156692,106.818895,POINT (106.818895 -6.156692),106.818895,-6.156692
406,467,PT Pertamina,-6.171082513781091,106.88707542296878,POINT (106.88707542296878 -6.171082513781091),106.88707542296878,-6.171082513781091
407,470,Pertamina,-6.285646,106.855192,POINT (106.855192 -6.285646),106.855192,-6.285646
408,471,Pertamina,-6.13841,106.86478,POINT (106.86478 -6.13841),106.86478,-6.13841
409,472,PT Pertamina,-6.11557,106.91086,POINT (106.91086 -6.11557),106.91086,-6.11557
410,473,Pertamina,-6.175207,106.848319,POINT (106.848319 -6.175207),106.848319,-6.175207
411,474,Pertamina,-6.37511,106.83205,POINT (106.83205 -6.37511),106.83205,-6.37511
412,475,Pertamina,-6.18497,106.84358,POINT (106.84358 -6.18497),106.84358,-6.18497
413,477,Pertamina,-6.201652470849373,106.9763999062089,POINT (106.9763999062089 -6.201652470849373),106.9763999062089,-6.201652470849373
414,479,Akr,-6.140242060285116,106.76722151216846,POINT (106.76722151216846 -6.140242060285116),106.76722151216846,-6.140242060285116
415,480,Pertamina,-6.215419378212995,106.70992952868717,POINT (106.70992952868717 -6.215419378212995),106.70992952868717,-6.215419378212995
416,481,Pertamina,-6.21145,106.8904,POINT (106.8904 -6.21145),106.8904,-6.21145
417,482,Chandra Wijaya Bengkel,-6.27709,106.9168,POINT (106.9168 -6.27709),106.9168,-6.27709
418,483,Pertamina,-6.158351922116886,106.7652925543562,POINT (106.7652925543562 -6.158351922116886),106.7652925543562,-6.158351922116886
419,484,Bengkel Honda Ahas,-6.281503411,106.950322998,POINT (106.950322998 -6.281503411),106.950322998,-6.281503411
420,485,Pertamina,-6.130456,106.703334,POINT (106.703334 -6.130456),106.703334,-6.130456
421,486,Pertamina,-6.19295,106.87616,POINT (106.87616 -6.19295),106.87616,-6.19295
422,488,Pertamina,-6.198131,106.854851,POINT (106.854851 -6.198131),106.854851,-6.198131
423,489,Pertamina,-6.36963,106.91951,POINT (106.91951 -6.36963),106.91951,-6.36963
424,490,Pertamina,-6.145223,106.776479,POINT (106.776479 -6.145223),106.776479,-6.145223
425,491,Shell,-6.218682407375373,106.70694839866269,POINT (106.70694839866269 -6.218682407375373),106.70694839866269,-6.218682407375373
426,492,Shell,-6.260819,106.815812,POINT (106.815812 -6.260819),106.815812,-6.260819
427,493,Pertamina,-6.1581002,106.766007447,POINT (106.766007447 -6.1581002),106.766007447,-6.1581002
428,494,Pertamina,-6.179652,106.903382,POINT (106.903382 -6.179652),106.903382,-6.179652
429,495,Trimegah Utama. PT,-6.229793668710877,106.85258344021207,POINT (106.85258344021207 -6.229793668710877),106.85258344021207,-6.229793668710877
430,496,Pertamina,-6.180388,106.813534,POINT (106.813534 -6.180388),106.813534,-6.180388
431,497,Pertamina,-6.18918,106.78957,POINT (106.78957 -6.18918),106.78957,-6.18918
432,498,Shell,-6.292728,106.800005,POINT (106.800005 -6.292728),106.800005,-6.292728
433,499,Shell,-6.22668437089264,106.714494178147,POINT (106.714494178147 -6.22668437089264),106.714494178147,-6.22668437089264
434,500,Pertamina,-6.349927915,106.801986637,POINT (106.801986637 -6.349927915),106.801986637,-6.349927915
435,501,Pertamina,-6.22639,106.87966,POINT (106.87966 -6.22639),106.87966,-6.22639
436,502,Pertamina,-6.19818,106.80314,POINT (106.80314 -6.19818),106.80314,-6.19818
437,503,Pertamina,-6.30537,106.91372,POINT (106.91372 -6.30537),106.91372,-6.30537
438,505,BP,-6.15407,106.72113,POINT (106.72113 -6.15407),106.72113,-6.15407
439,506,Pertamina,-6.280819,106.871885,POINT (106.871885 -6.280819),106.871885,-6.280819
440,507,Pertamina,-6.19307155,106.8761914,POINT (106.8761914 -6.19307155),106.8761914,-6.19307155
441,508,Spbu,-6.17178,106.86297,POINT (106.86297 -6.17178),106.86297,-6.17178
442,509,Pertamina,-6.320883,106.836154,POINT (106.836154 -6.320883),106.836154,-6.320883
443,510,Pertamina,-6.235870497803013,106.8445625494287,POINT (106.8445625494287 -6.235870497803013),106.8445625494287,-6.235870497803013
444,511,Pertamina,-6.272113477,106.79734306,POINT (106.79734306 -6.272113477),106.79734306,-6.272113477
445,513,Pertamina,-6.24907736,106.959597355,POINT (106.959597355 -6.24907736),106.959597355,-6.24907736
446,514,Pertamina,-6.130290973862151,106.91125028624516,POINT (106.91125028624516 -6.130290973862151),106.91125028624516,-6.130290973862151
447,515,Pertamina,-6.233715,106.945933,POINT (106.945933 -6.233715),106.945933,-6.233715
448,516,Pertamina,-6.148502,106.916765,POINT (106.916765 -6.148502),106.916765,-6.148502
449,517,Shell,-6.303935,106.840329,POINT (106.840329 -6.303935),106.840329,-6.303935
450,518,Pertamina,-6.30687,106.87558,POINT (106.87558 -6.30687),106.87558,-6.30687
451,519,Pertamina,-6.261725554658883,106.73860906887356,POINT (106.73860906887356 -6.261725554658883),106.73860906887356,-6.261725554658883
452,520,Spbu Pertamina,-6.156546714,106.8798256,POINT (106.8798256 -6.156546714),106.8798256,-6.156546714
453,521,Spbu,-6.16544,106.76346,POINT (106.76346 -6.16544),106.76346,-6.16544
454,522,Lally Sport,-6.1769,106.87434,POINT (106.87434 -6.1769),106.87434,-6.1769
455,523,Pertamina,-6.132397,106.933982,POINT (106.933982 -6.132397),106.933982,-6.132397
456,524,Global Service Teknikindo,-6.192563973838547,106.8672645007951,POINT (106.8672645007951 -6.192563973838547),106.8672645007951,-6.192563973838547
